zone,temperature,vegetation,building_density,population,vulnerability,cooling_access,water_access,hospital_capacity,heat_risk_score,risk_class
Z0040,35.36,32.69,65.91,33166,30.2,37.74,90.91,83.69,33.54,0
Z0041,43.61,72.42,43.65,21353,73.35,41.83,60.39,89.98,57.79,2
Z0042,44.74,61.21,90.17,20514,89.17,97.86,82.97,90.51,64.33,2
Z0043,35.25,60.24,51.59,31982,84.18,87.77,82.97,41.34,32.93,0
Z0044,42.87,13.11,86.69,35847,37.79,83.49,51.43,44.42,64.62,2
Z0045,42.95,22.07,31.54,17656,51.88,35.07,16.25,81.87,63.84,2
Z0046,38.51,43.21,74.17,40141,46.49,12.48,88.93,40.9,49.97,1
Z0047,40.81,78.77,32.49,44096,54.77,75.57,38.23,68.5,43.89,1
Z0048,40.11,33.89,67.48,21693,23.55,49.25,56.79,84.52,49.08,1
Z0049,41.87,75.52,77.91,17912,49.14,16.3,69.78,46.42,57.41,2
Z0050,38.14,68.6,76.78,24681,60.57,70.02,39.36,75.78,45.0,1
Z0051,40.54,19.39,73.22,29847,74.19,91.25,65.4,44.08,57.97,2
Z0052,40.48,5.03,48.65,33173,82.86,64.6,39.0,55.34,62.28,2
Z0053,41.76,43.34,81.59,16120,72.71,35.54,69.75,69.54,62.91,2
Z0054,35.93,76.4,45.27,25343,37.97,27.92,12.2,39.59,37.84,1
Z0055,39.75,68.73,34.73,32160,90.89,61.81,74.65,50.72,46.61,1
Z0056,39.0,16.07,74.7,11985,82.27,29.7,82.37,75.67,58.13,2
Z0057,39.65,46.81,89.64,12953,56.52,82.13,70.08,99.03,48.67,1
Z0058,40.95,76.25,87.94,45150,85.2,90.28,48.41,92.55,53.9,1
Z0059,39.46,16.94,86.0,34495,40.74,32.25,67.39,81.27,55.82,2
Z0060,40.21,52.01,47.85,10077,77.08,31.1,40.23,91.44,54.87,1
Z0061,35.81,16.31,54.9,15014,76.51,15.78,46.68,63.41,50.27,1
Z0062,39.16,20.51,57.31,43278,95.68,11.76,89.26,66.06,58.94,2
Z0063,39.77,75.71,49.41,30558,88.28,95.81,47.71,79.8,45.26,1
Z0064,40.46,50.24,44.34,19380,41.83,53.71,45.0,73.51,48.23,1
Z0065,42.98,59.31,84.63,13364,98.46,58.07,91.62,67.35,64.17,2
Z0066,41.63,11.3,57.86,35257,34.54,33.41,39.46,56.38,61.95,2
Z0067,38.38,70.97,48.09,32627,40.18,17.37,11.74,63.15,46.65,1
Z0068,45.0,31.25,72.26,47713,23.22,12.79,32.26,87.14,70.77,2
Z0069,41.21,22.89,60.78,12496,65.12,29.62,72.95,81.35,59.77,2
Z0070,36.68,50.54,78.62,12506,82.22,24.74,37.99,66.29,51.99,1
Z0071,44.29,48.18,89.02,29596,51.73,74.35,16.84,75.25,68.87,2
Z0072,41.27,12.64,80.21,49843,68.03,20.89,98.55,82.61,63.08,2
Z0073,38.47,37.13,54.09,38158,71.8,11.14,47.81,59.22,54.88,1
Z0074,39.34,32.16,87.95,35129,76.58,49.19,76.04,97.24,55.48,2
Z0075,37.7,65.61,64.98,36686,57.19,84.32,63.32,45.78,39.53,1
Z0076,37.45,75.1,48.13,34543,39.51,51.82,64.93,50.32,35.05,1
Z0077,35.29,68.82,41.82,18901,48.39,33.25,35.17,67.69,33.84,0
Z0078,43.8,46.68,63.58,17521,26.85,74.81,53.97,80.65,56.05,2
Z0079,41.91,53.44,61.9,6130,27.44,29.94,72.26,44.5,53.66,1
Z0080,40.82,40.49,64.51,32885,99.73,59.53,41.66,56.3,63.07,2
Z0081,38.07,22.29,76.88,25679,29.56,58.23,78.6,34.81,46.4,1
Z0082,37.16,41.31,77.1,39382,67.74,98.25,84.94,43.7,41.52,1
Z0083,38.61,27.67,76.02,13295,41.94,97.69,59.8,75.79,44.83,1
Z0084,36.26,70.13,61.91,5803,65.93,52.25,49.64,34.75,40.52,1
Z0085,35.51,75.58,61.05,9282,52.06,16.67,66.65,24.29,37.62,1
Z0086,36.49,47.21,49.75,21265,29.48,78.8,64.57,83.26,30.78,0
Z0087,37.26,44.19,59.28,34014,43.79,62.97,48.59,65.49,41.17,1
Z0088,35.6,77.01,36.45,18617,70.04,33.82,17.31,39.19,39.16,1
Z0089,40.52,16.74,56.55,43916,57.59,12.94,35.93,42.62,64.15,2
Z0090,43.6,10.34,45.17,22337,83.03,66.26,69.51,94.69,65.16,2
Z0091,39.25,45.84,72.1,22408,86.13,16.43,24.93,44.61,63.25,2
Z0092,42.49,47.69,48.76,13149,57.5,37.37,46.23,41.78,60.81,2
Z0093,40.4,37.83,68.87,33313,78.76,64.33,12.33,38.31,63.09,2
Z0094,41.74,69.54,68.16,6359,99.97,70.51,34.26,23.22,63.38,2
Z0095,42.56,40.29,72.35,23229,34.52,62.68,67.13,59.34,56.73,2
Z0096,35.91,31.1,51.67,48917,28.37,24.47,47.05,59.64,39.94,1
Z0097,41.63,35.03,79.43,7404,56.39,38.31,39.09,97.61,62.37,2
Z0098,39.04,43.59,94.23,48100,89.55,51.58,14.88,61.48,63.43,2
Z0099,41.23,42.39,58.73,8382,36.28,59.43,93.49,55.05,48.53,1
Z0100,41.98,14.11,93.25,44903,83.95,73.88,37.97,21.09,73.17,2
Z0101,39.08,21.85,84.69,12435,56.92,20.57,84.89,59.87,56.66,2
Z0102,42.17,43.17,47.77,36621,98.42,31.94,59.61,50.69,65.26,2
Z0103,44.22,43.12,87.16,9575,42.1,81.1,47.34,94.74,63.0,2
Z0104,40.08,66.54,48.38,24566,87.0,62.19,69.39,89.22,47.94,1
Z0105,39.47,41.33,51.61,40614,50.18,93.96,88.26,98.46,39.32,1
Z0106,37.39,33.72,85.64,31920,23.49,77.02,73.47,84.91,39.18,1
Z0107,38.86,54.78,83.35,14968,59.63,13.33,55.21,67.21,54.6,1
Z0108,43.7,70.56,58.62,39468,92.84,11.38,22.97,89.67,70.31,2
Z0109,44.7,10.61,80.8,22368,47.08,72.34,68.49,88.14,68.2,2
Z0110,43.52,69.45,54.7,25752,70.14,89.87,53.92,63.28,56.34,2
Z0111,41.17,22.61,74.49,23833,99.79,77.21,49.06,27.88,67.25,2
Z0112,41.34,70.44,58.84,24625,92.27,14.14,81.65,43.47,59.36,2
Z0113,38.75,15.92,64.53,42088,74.54,26.21,25.76,68.76,61.08,2
Z0114,38.83,56.24,62.35,43217,31.45,51.5,32.86,40.43,46.65,1
Z0115,35.09,65.35,88.58,49407,63.73,16.65,95.07,99.01,37.2,1
Z0116,37.99,77.15,74.87,34939,87.62,27.93,44.62,58.66,51.59,1
Z0117,37.37,47.89,67.36,24348,21.76,84.7,45.62,20.65,39.23,1
Z0118,43.65,63.37,93.28,44741,79.61,84.96,91.26,82.06,60.66,2
Z0119,37.3,65.14,44.24,17460,69.67,71.0,74.88,72.73,35.99,1
Z0120,43.38,52.12,88.72,47358,23.15,80.97,13.0,49.19,62.26,2
Z0121,36.31,73.22,51.24,32230,34.05,21.89,58.55,97.72,32.82,0
Z0122,40.31,73.51,83.98,21840,93.12,94.98,97.06,43.61,50.08,1
Z0123,43.7,65.32,60.44,9934,31.26,96.99,87.41,77.94,47.73,1
Z0124,44.8,77.55,82.3,28971,27.22,45.51,33.8,29.89,64.77,2
Z0125,38.69,61.18,47.04,29970,85.79,94.63,19.75,38.71,48.43,1
Z0126,35.25,71.32,66.49,44982,37.71,15.69,84.15,92.75,31.06,0
Z0127,38.02,35.62,39.09,7438,44.35,54.34,18.75,90.98,44.38,1
Z0128,36.36,39.02,73.58,40402,53.53,76.8,23.91,53.19,44.55,1
Z0129,35.99,41.7,56.53,23333,22.62,43.35,49.9,96.04,34.46,0
Z0130,43.55,12.45,74.57,40682,92.14,68.03,15.45,42.07,78.35,3
Z0131,44.68,76.18,83.57,11007,73.02,67.75,63.74,21.71,66.87,2
Z0132,42.87,23.27,38.19,42000,36.42,84.68,59.88,66.91,53.5,1
Z0133,43.13,22.47,80.33,44058,20.23,87.26,23.02,30.4,63.56,2
Z0134,37.51,18.09,72.97,6689,30.54,42.24,80.96,67.11,44.66,1
Z0135,35.16,24.9,38.24,32588,62.09,77.11,52.86,82.24,34.68,0
Z0136,40.13,13.18,62.75,45311,23.47,80.49,88.03,61.72,46.42,1
Z0137,39.58,77.3,33.95,36390,87.78,48.36,19.72,76.99,49.75,1
Z0138,39.44,72.45,50.94,14721,25.25,34.75,66.98,63.87,40.5,1
Z0139,38.25,79.6,64.49,34734,60.44,48.72,81.38,29.15,42.09,1
Z0140,41.55,70.83,65.84,19091,54.41,89.93,47.24,86.19,49.03,1
Z0141,38.99,59.72,50.32,25481,73.21,43.69,23.74,93.84,50.1,1
Z0142,35.67,67.38,36.06,11328,79.57,43.54,21.71,24.8,41.49,1
Z0143,44.57,47.13,73.55,31922,48.29,69.88,77.53,89.45,60.69,2
Z0144,42.21,77.63,69.03,28045,28.29,55.67,23.93,58.58,53.7,1
Z0145,43.47,31.26,66.16,12529,81.01,61.67,82.65,87.61,63.99,2
Z0146,44.75,66.38,69.88,47119,64.54,64.81,69.2,75.48,62.27,2
Z0147,35.29,25.5,79.56,27270,48.08,26.33,22.89,72.59,47.64,1
Z0148,35.7,60.57,93.17,11013,79.69,29.36,47.78,47.27,48.85,1
Z0149,38.7,59.12,80.49,42197,67.7,89.5,24.0,80.35,49.09,1
Z0150,35.5,11.12,58.8,32788,58.85,49.78,34.59,80.4,45.02,1
Z0151,36.14,37.24,48.41,49465,67.45,57.42,37.76,37.64,43.81,1
Z0152,44.84,9.11,43.29,18843,81.39,78.77,36.05,29.6,73.91,2
Z0153,39.97,37.3,38.4,39903,76.29,55.02,85.0,84.5,48.3,1
Z0154,35.72,69.63,32.75,6228,56.78,17.01,38.18,54.34,36.91,1
Z0155,39.04,53.01,48.82,31544,21.67,39.23,82.12,69.45,39.15,1
Z0156,43.32,73.98,35.73,11937,39.47,63.0,57.16,51.66,50.54,1
Z0157,38.1,30.46,51.65,16018,26.11,66.99,57.75,35.51,42.15,1
Z0158,42.76,31.33,92.28,47299,85.2,31.26,23.18,35.78,77.98,3
Z0159,41.02,62.02,72.61,16609,96.1,66.52,51.76,65.1,58.99,2
Z0160,40.79,56.09,87.33,47139,70.82,66.21,87.78,70.18,53.79,1
Z0161,36.51,10.12,58.74,24845,83.71,63.23,41.67,25.94,52.59,1
Z0162,39.62,7.82,53.97,23813,26.14,87.78,86.98,69.2,43.76,1
Z0163,40.07,39.7,66.03,7688,55.98,82.88,68.67,45.72,50.12,1
Z0164,39.76,16.31,34.02,11783,84.88,85.36,98.41,26.75,49.94,1
Z0165,41.46,7.94,76.0,33797,61.93,64.88,42.75,93.43,63.45,2
Z0166,38.87,63.08,74.13,8431,83.14,68.26,15.93,27.56,55.95,2
Z0167,41.78,26.31,77.04,48028,97.15,64.24,23.53,26.52,72.43,2
Z0168,41.64,73.76,50.17,47995,75.88,45.28,63.55,95.04,52.12,1
Z0169,38.1,33.25,81.46,13375,73.61,84.61,76.49,74.83,47.71,1
Z0170,40.26,53.45,57.52,28712,21.46,37.8,95.61,47.34,43.91,1
Z0171,42.66,19.4,95.0,15154,26.17,86.0,19.1,81.67,63.66,2
Z0172,43.35,71.28,32.45,27070,90.11,65.62,63.75,32.34,58.19,2
Z0173,36.81,56.96,70.61,15848,77.69,13.93,42.79,77.57,49.58,1
Z0174,44.7,50.79,78.91,34420,38.72,31.53,96.9,82.75,62.13,2
Z0175,44.04,19.55,74.09,42383,98.76,51.55,35.36,50.55,78.89,3
Z0176,40.27,77.47,83.1,44627,31.07,32.5,67.71,89.93,46.81,1
Z0177,40.55,12.69,84.98,13170,42.81,78.68,34.55,92.42,57.96,2
Z0178,36.47,37.81,91.52,19551,85.34,89.62,93.74,53.19,44.28,1
Z0179,38.96,33.05,55.1,10348,49.99,12.54,93.77,87.13,47.71,1
Z0180,41.5,64.35,38.94,23800,93.39,52.52,84.8,80.71,51.93,1
Z0181,39.69,51.15,88.88,6245,40.47,85.15,59.39,78.18,47.44,1
Z0182,40.28,13.34,48.73,24736,29.75,31.46,67.51,69.82,52.22,1
Z0183,35.63,67.75,62.49,40130,21.31,56.38,31.77,31.49,33.9,0
Z0184,39.29,51.11,45.64,32300,34.99,70.14,57.11,48.85,42.14,1
Z0185,44.53,45.81,81.12,38267,64.33,45.14,52.31,70.85,70.26,2
Z0186,44.81,24.02,31.06,9427,47.58,75.96,66.54,81.72,59.29,2
Z0187,42.35,29.94,32.88,40783,47.08,67.85,84.73,74.77,50.56,1
Z0188,44.81,40.89,41.85,13837,25.05,79.86,51.19,43.48,58.05,2
Z0189,35.44,19.96,32.72,25321,61.23,99.02,58.87,40.27,34.61,0
Z0190,42.53,19.33,53.2,8132,89.26,39.87,21.2,49.44,72.49,2
Z0191,43.89,60.75,88.15,30339,47.12,26.81,72.29,49.39,65.48,2
Z0192,42.97,25.0,35.37,32820,26.31,64.22,84.01,63.64,51.42,1
Z0193,38.21,11.01,72.96,25086,55.67,74.59,25.0,55.51,54.55,1
Z0194,39.47,59.51,89.25,45294,99.85,34.71,98.2,95.83,54.77,1
Z0195,35.75,52.81,53.62,49525,32.8,12.8,86.38,74.25,33.66,0
Z0196,39.38,14.47,45.34,47281,49.31,44.46,61.05,68.41,51.2,1
Z0197,41.79,76.16,54.18,10038,65.91,57.65,45.82,71.96,53.02,1
Z0198,37.5,13.51,77.82,37705,61.42,92.22,20.6,82.0,50.97,1
Z0199,42.04,21.09,69.77,37191,36.01,22.22,16.66,33.81,68.25,2
Z0200,42.13,79.79,82.68,25944,73.43,73.86,59.5,43.23,57.35,2
Z0201,38.0,16.81,76.12,46792,33.93,42.53,30.18,98.81,50.77,1
Z0202,42.92,22.76,62.11,28651,64.32,43.2,82.33,64.13,63.55,2
Z0203,41.12,11.47,50.1,36369,62.06,79.22,84.1,25.9,55.83,2
Z0204,44.72,53.18,59.25,49571,61.39,21.55,84.61,64.1,65.47,2
Z0205,40.88,62.58,38.39,37955,92.86,14.99,21.17,32.24,62.7,2
Z0206,36.65,29.2,76.11,27676,95.8,56.7,35.56,26.31,55.8,2
Z0207,36.96,76.73,47.84,45961,44.23,58.01,55.23,33.49,35.19,1
Z0208,44.42,16.56,72.82,44658,47.01,93.15,13.71,89.1,68.6,2
Z0209,35.81,76.14,80.12,22344,72.09,79.03,47.49,71.12,37.64,1
Z0210,39.98,52.04,48.83,24798,58.64,82.42,71.65,43.79,45.66,1
Z0211,35.73,9.49,58.57,36735,57.16,40.62,22.93,88.92,47.32,1
Z0212,38.19,79.1,52.45,31130,30.46,43.35,60.55,45.53,37.48,1
Z0213,39.66,25.06,46.11,11344,24.05,95.08,87.77,53.45,39.8,1
Z0214,44.63,72.67,82.88,42859,77.69,27.09,24.34,99.68,71.94,2
Z0215,39.67,70.93,62.33,10901,95.62,55.49,97.0,37.21,49.95,1
Z0216,38.53,8.79,62.17,47877,73.8,35.72,10.74,28.6,63.59,2
Z0217,36.34,24.84,53.78,31427,49.27,46.05,61.33,35.57,43.23,1
Z0218,40.53,10.51,62.78,41035,42.38,99.02,71.24,29.5,52.29,1
Z0219,44.75,34.54,81.67,27222,64.63,42.9,22.98,68.2,76.02,3
Z0220,39.01,8.02,32.53,26826,84.32,56.74,23.4,91.45,55.78,2
Z0221,36.4,74.85,50.7,30752,99.25,76.54,36.93,46.91,41.77,1
Z0222,43.28,44.93,76.07,24647,57.99,11.5,39.81,28.77,71.65,2
Z0223,39.17,28.08,88.42,46239,22.13,52.71,97.04,82.63,45.76,1
Z0224,42.76,48.32,76.89,43241,58.44,57.18,74.91,81.97,59.03,2
Z0225,38.8,66.62,45.74,42523,95.86,19.89,11.7,45.1,57.24,2
Z0226,36.51,56.79,56.67,45073,93.64,88.55,76.23,24.98,40.85,1
Z0227,36.38,20.55,51.13,48399,58.27,43.91,96.1,56.77,40.63,1
Z0228,40.33,45.97,73.93,49613,71.46,72.4,64.91,35.38,55.41,2
Z0229,37.47,46.86,44.62,24504,81.69,73.44,72.12,59.12,41.8,1
Z0230,39.8,47.04,90.74,22921,43.02,61.61,58.89,91.66,50.77,1
Z0231,38.95,30.89,80.25,14599,43.24,35.89,74.27,47.71,52.32,1
Z0232,39.42,24.23,61.14,18242,86.24,34.4,60.58,41.73,60.16,2
Z0233,36.09,60.57,45.55,8326,73.59,57.79,67.42,24.2,38.33,1
Z0234,39.13,58.8,36.54,14009,20.41,59.53,93.62,52.55,34.18,0
Z0235,44.35,70.88,61.03,18071,80.47,35.85,35.69,24.73,70.25,2
Z0236,42.69,53.92,45.09,7444,93.06,25.76,89.4,34.06,62.48,2
Z0237,44.2,79.79,55.8,37465,34.9,77.41,88.51,43.16,50.48,1
Z0238,35.37,27.38,69.18,26957,42.76,99.02,58.9,59.51,35.04,1
Z0239,44.39,68.83,60.42,17636,84.71,39.76,75.8,71.86,64.45,2
Z0240,42.19,6.06,51.91,24334,65.42,78.16,25.79,88.49,63.43,2
Z0241,43.97,67.02,63.49,10684,52.07,18.58,98.35,58.2,59.59,2
Z0242,44.36,5.51,54.93,34277,80.3,95.86,37.18,77.83,70.34,2
Z0243,35.11,54.03,75.03,9071,73.42,51.89,24.37,74.89,43.14,1
Z0244,44.23,71.59,80.04,12694,71.1,94.66,43.08,37.67,63.97,2
Z0245,44.57,40.86,59.57,44697,49.89,73.17,92.15,80.59,58.45,2
Z0246,43.02,66.92,79.52,49586,80.38,88.58,17.37,55.74,64.62,2
Z0247,42.04,10.86,66.67,9047,86.3,91.26,28.19,62.93,67.34,2
Z0248,36.65,69.09,58.72,49583,36.43,62.48,18.18,60.83,37.74,1
Z0249,43.09,39.01,63.36,34936,65.11,60.29,70.55,44.65,62.36,2
Z0250,35.22,24.08,30.2,19280,66.26,14.08,41.01,25.1,44.75,1
Z0251,44.94,75.09,34.49,35937,22.54,46.8,79.21,81.27,50.45,1
Z0252,44.78,53.44,57.32,30066,55.88,92.54,43.97,26.42,63.34,2
Z0253,44.64,70.59,38.64,27791,29.49,99.36,45.38,30.19,52.57,1
Z0254,44.79,67.61,79.15,24553,57.04,74.72,48.17,50.34,64.84,2
Z0255,37.3,39.55,40.08,17352,94.99,75.25,20.16,84.76,47.44,1
Z0256,39.19,62.45,87.44,6025,39.25,16.06,63.45,55.72,51.48,1
Z0257,41.72,70.42,45.91,7899,52.18,31.09,29.55,89.1,53.79,1
Z0258,35.56,42.79,48.8,42755,45.51,63.81,70.53,45.65,33.7,0
Z0259,38.02,15.74,72.91,19486,53.08,34.76,60.1,67.33,52.74,1
Z0260,42.35,18.13,74.12,41428,59.65,97.51,94.74,73.71,56.49,2
Z0261,42.86,28.91,57.06,14779,43.99,26.55,58.41,39.28,63.94,2
Z0262,37.25,69.32,39.38,35344,93.18,60.61,97.1,64.58,37.25,1
Z0263,36.34,23.21,43.22,47382,26.33,50.48,43.4,62.85,38.44,1
Z0264,43.29,8.87,54.52,44647,68.23,88.63,26.93,80.94,66.36,2
Z0265,42.24,46.91,61.16,26821,44.26,91.81,29.06,35.2,56.66,2
Z0266,42.41,61.02,79.03,20898,75.65,73.34,45.7,39.15,62.43,2
Z0267,38.22,26.23,60.31,47514,48.74,33.54,56.15,59.78,50.11,1
Z0268,35.99,78.6,60.52,25986,93.15,43.36,47.25,65.0,41.91,1
Z0269,37.21,15.94,46.95,43275,66.33,47.58,23.72,46.39,51.79,1
Z0270,38.8,67.5,62.45,47900,95.48,40.38,78.7,59.09,50.1,1
Z0271,42.24,60.47,59.95,28080,33.54,74.83,53.95,93.35,49.12,1
Z0272,40.42,53.14,33.82,7216,87.13,16.69,83.62,23.88,55.21,2
Z0273,35.06,15.31,71.0,9454,76.57,10.82,55.52,49.86,50.9,1
Z0274,41.18,55.01,70.07,36667,72.74,11.42,57.9,52.91,62.13,2
Z0275,35.17,59.16,64.82,23788,21.37,83.18,70.66,84.49,24.95,0
Z0276,44.1,13.03,36.26,14758,39.28,65.78,32.72,48.36,64.4,2
Z0277,42.95,10.93,92.35,35080,65.2,99.12,30.33,74.72,69.16,2
Z0278,43.48,54.03,85.78,7076,27.48,44.13,59.74,24.49,62.71,2
Z0279,35.09,17.85,62.49,33436,71.59,39.81,97.96,97.91,39.05,1
Z0280,43.95,73.94,44.93,42144,58.04,14.19,16.69,94.05,63.41,2
Z0281,43.99,47.26,32.14,25610,21.25,28.64,22.98,85.66,58.45,2
Z0282,43.21,74.67,49.45,41959,39.24,85.12,45.02,91.72,49.13,1
Z0283,38.32,61.67,39.1,10139,60.06,97.69,14.83,54.97,41.57,1
Z0284,43.39,30.54,79.99,44033,51.74,79.62,12.67,41.87,69.01,2
Z0285,44.93,41.8,53.13,29603,54.55,71.17,69.46,26.86,64.25,2
Z0286,41.19,64.85,76.35,10376,41.44,44.2,80.55,32.34,52.41,1
Z0287,38.9,32.05,35.95,25202,55.58,78.52,19.2,26.98,49.49,1
Z0288,39.31,46.77,63.31,11769,22.1,41.85,18.38,67.84,49.31,1
Z0289,38.24,33.89,48.97,30414,82.33,75.24,60.36,99.42,45.81,1
Z0290,37.43,44.08,74.55,16108,31.11,37.1,54.38,25.06,46.12,1
Z0291,39.35,36.58,61.48,10041,48.89,94.98,74.88,59.66,44.14,1
Z0292,41.17,39.34,38.81,5443,95.91,39.9,65.82,84.33,58.02,2
Z0293,38.3,30.11,83.01,47666,97.94,22.25,38.86,95.78,61.61,2
Z0294,37.01,28.56,92.7,25915,43.32,72.55,54.19,66.07,46.17,1
Z0295,37.42,33.2,83.07,30751,49.2,93.89,27.98,99.78,44.96,1
Z0296,36.8,62.57,31.75,35252,95.44,28.87,81.79,86.5,39.7,1
Z0297,35.69,68.58,81.68,49104,59.94,67.0,31.78,72.69,39.52,1
Z0298,42.15,64.18,34.81,44186,58.34,46.07,55.6,93.63,50.95,1
Z0299,41.92,45.77,81.4,28562,76.13,83.11,63.44,93.15,58.2,2
Z0300,36.09,23.62,73.21,15901,71.76,13.99,98.52,74.2,46.52,1
Z0301,39.0,61.45,92.77,33210,28.48,18.87,29.98,79.75,52.09,1
Z0302,40.58,56.57,44.37,29518,51.29,79.51,62.97,60.04,45.35,1
Z0303,38.45,6.84,36.8,32261,93.64,17.73,84.82,78.41,54.71,1
Z0304,38.48,30.73,80.98,39151,58.63,52.85,49.43,75.74,52.77,1
Z0305,38.19,27.52,82.66,12542,21.81,40.88,19.84,84.0,50.84,1
Z0306,44.3,60.54,63.54,41169,32.81,60.39,96.26,38.55,55.68,2
Z0307,39.05,18.83,71.63,33320,51.65,76.36,89.48,55.97,48.44,1
Z0308,39.3,5.33,43.96,23241,80.19,82.79,15.63,28.14,59.46,2
Z0309,43.72,19.02,51.19,34986,29.12,70.36,54.05,97.27,58.05,2
Z0310,38.13,34.15,55.52,12486,47.83,86.1,65.56,85.1,40.36,1
Z0311,42.06,27.31,69.94,10554,73.77,38.19,31.47,29.36,70.21,2
Z0312,38.73,15.6,55.25,44087,31.03,44.53,26.72,70.84,51.13,1
Z0313,41.93,53.39,94.99,41366,33.35,36.0,26.84,87.36,61.39,2
Z0314,41.19,69.91,91.87,36759,30.92,83.37,96.74,60.44,45.48,1
Z0315,39.95,56.35,57.02,34088,59.1,17.44,12.78,80.88,56.75,2
Z0316,37.92,25.61,64.94,16023,82.46,60.91,79.53,59.63,50.01,1
Z0317,40.11,47.95,47.41,40593,85.86,43.02,84.03,23.33,54.25,1
Z0318,42.19,45.98,94.34,11711,78.88,68.83,32.28,89.98,66.05,2
Z0319,35.32,24.71,86.04,10700,55.13,99.46,79.81,38.96,38.56,1
Z0320,43.11,49.09,52.79,44994,70.62,24.94,22.53,36.53,68.9,2
Z0321,37.07,9.45,52.8,23421,67.75,25.15,98.11,43.41,48.38,1
Z0322,40.73,76.43,63.44,49518,85.21,22.2,77.51,52.93,55.4,2
Z0323,35.59,25.8,72.63,13696,39.97,74.03,84.56,80.92,34.9,0
Z0324,41.76,41.71,67.53,22610,70.23,43.77,16.8,83.57,64.46,2
Z0325,42.69,35.21,78.74,29187,56.38,53.92,62.38,89.51,61.95,2
Z0326,43.47,11.99,93.19,46604,73.13,42.24,15.7,62.75,79.63,3
Z0327,37.18,37.22,43.77,22598,45.83,35.52,59.26,30.45,43.39,1
Z0328,43.52,64.12,88.12,8172,23.68,66.36,85.3,21.3,56.49,2
Z0329,44.29,16.85,59.67,33036,36.19,71.97,21.87,72.0,66.75,2
Z0330,36.59,74.95,47.81,47899,48.83,17.42,69.81,71.91,35.71,1
